rank,team,G,W,L,D,WPCT,差,首位差,残試合,貯金,連勝連敗,RS,RS_avg,RA,RA_avg,RD,AVG,HR,SB,ERA,league,year
3,DeNA,143,71,69,3,0.507,4.5,8.0,0,2,○ 1,522,3.65,503,3.52,19,0.256,101,69,3.07,CL,2024
4,広島,143,68,70,5,0.493,2.0,10.0,0,-2,○ 2,415,2.9,419,2.93,-4,0.238,52,66,2.62,CL,2024
5,ヤクルト,143,62,77,4,0.446,6.5,16.5,0,-15,● 2,506,3.54,556,3.89,-50,0.243,103,67,3.64,CL,2024
6,中日,143,60,75,8,0.444,0.0,16.5,0,-15,● 1,373,2.61,478,3.34,-105,0.243,68,40,2.99,CL,2024
1,ソフトバンク,143,91,49,3,0.65,優勝,-,0,42,○ 5,607,4.24,390,2.73,217,0.259,114,89,2.53,PL,2024
2,日本ハム,143,75,60,8,0.556,13.5,13.5,0,15,● 1,532,3.72,485,3.39,47,0.245,111,91,2.94,PL,2024
3,ロッテ,143,71,66,6,0.518,5.0,18.5,0,5,● 2,493,3.45,495,3.46,-2,0.248,75,64,3.17,PL,2024
4,楽天,143,67,72,4,0.482,5.0,23.5,0,-5,○ 1,492,3.44,579,4.05,-87,0.242,72,90,3.73,PL,2024
5,オリックス,143,63,77,3,0.45,4.5,28.0,0,-14,○ 1,402,2.81,448,3.13,-46,0.238,71,61,2.82,PL,2024
6,西武,143,49,91,3,0.35,14.0,42.0,0,-42,○ 2,350,2.45,485,3.39,-135,0.212,60,83,3.02,PL,2024
1,阪神,143,85,54,4,0.612,優勝,-,0,31,○ 1,496,3.47,352,2.46,144,0.245,93,100,2.21,CL,2025
2,DeNA,143,71,66,6,0.518,13.0,13.0,0,5,○ 1,510,3.57,456,3.19,54,0.247,110,66,2.94,CL,2025
3,巨人,143,70,69,4,0.504,2.0,15.0,0,1,○ 3,463,3.24,461,3.22,2,0.25,96,53,2.95,CL,2025
4,中日,143,63,78,2,0.447,8.0,23.0,0,-15,● 2,403,2.82,463,3.24,-60,0.232,83,80,2.97,CL,2025
5,広島,143,59,79,5,0.428,2.5,25.5,0,-20,● 5,441,3.08,497,3.48,-56,0.246,71,57,3.2,CL,2025
6,ヤクルト,143,57,79,7,0.419,1.0,26.5,0,-22,○ 2,443,3.1,564,3.94,-121,0.234,90,61,3.59,CL,2025
1,ソフトバンク,143,87,52,4,0.626,優勝,-,0,35,○ 2,551,3.85,389,2.72,162,0.257,101,98,2.39,PL,2025
2,日本ハム,143,83,57,3,0.593,4.5,4.5,0,26,● 1,548,3.83,409,2.86,139,0.248,129,79,2.53,PL,2025
3,オリックス,143,74,66,3,0.529,9.0,13.5,0,8,○ 1,502,3.51,519,3.63,-17,0.255,100,58,3.37,PL,2025
4,楽天,143,67,74,2,0.475,7.5,21.0,0,-7,● 1,446,3.12,526,3.68,-80,0.244,70,110,3.37,PL,2025
5,西武,143,63,77,3,0.45,3.5,24.5,0,-14,● 2,410,2.87,465,3.25,-55,0.232,80,91,2.99,PL,2025
6,ロッテ,143,56,84,3,0.4,7.0,31.5,0,-28,● 1,441,3.08,553,3.87,-112,0.241,73,68,3.6,PL,2025
