player,team,IP,marcel_ERA,stan_ERA,bayes_ERA,bayes_ERA_lo80,bayes_ERA_hi80,bayes_ERA_lo95,bayes_ERA_hi95,stan_delta,method
宋　家豪,楽天,28.9,3.18,,3.18,,,,,,marcel_only
東妻　勇輔,ロッテ,13.2,3.44,,3.44,,,,,,marcel_only
大関　友久,ソフトバンク,128.1,2.39,2.69,2.6,0.5,4.77,0.0,5.94,0.3004,bma_jpn
栗林　良吏,広島,53.2,2.65,2.69,2.76,0.5,4.76,0.0,5.93,0.0352,bma_jpn
岩下　大輝,ロッテ,25.5,2.99,,2.99,,,,,,marcel_only
大貫　晋一,DeNA,76.4,3.07,3.33,3.34,1.14,5.41,0.02,6.58,0.2596,bma_jpn
上沢　直之,ソフトバンク,154.2,2.98,3.22,3.09,1.03,5.3,0.0,6.47,0.2388,bma_jpn
青山　美夏人,西武,23.0,2.96,,2.96,,,,,,marcel_only
清水　昇,ヤクルト,35.2,3.61,3.21,3.3,1.02,5.29,0.0,6.45,-0.4041,bma_jpn
酒居　知史,楽天,44.6,2.98,,2.98,,,,,,marcel_only
ボー・タカハシ,西武,35.3,3.26,,3.26,,,,,,marcel_only
漆原　大晟,阪神,21.7,2.95,3.63,3.21,1.44,5.71,0.32,6.88,0.6802,bma_jpn
佐々木　千隼,DeNA,22.1,3.03,2.96,3.15,0.77,5.04,0.0,6.2,-0.0733,bma_jpn
森下　暢仁,広島,146.9,2.69,2.99,2.83,0.8,5.07,0.0,6.24,0.2988,bma_jpn
小澤　怜史,ヤクルト,62.2,3.11,2.39,2.68,0.2,4.47,0.0,5.64,-0.717,bma_jpn
板東　湧梧,ソフトバンク,83.0,3.05,,3.05,,,,,,marcel_only
安樂　智大,楽天,47.3,3.01,,3.01,,,,,,marcel_only
岸　孝之,楽天,123.3,3.73,4.15,4.02,1.96,6.23,0.84,7.4,0.418,bma_jpn
田嶋　大樹,オリックス,103.8,3.23,3.38,3.36,1.19,5.46,0.06,6.62,0.1467,bma_jpn
清水　達也,中日,52.8,2.47,2.41,2.6,0.22,4.49,0.0,5.66,-0.0575,bma_jpn
北浦　竜次,日本ハム,11.5,2.93,,2.93,,,,,,marcel_only
カスティーヨ,オリックス,74.9,3.25,,3.25,,,,,,marcel_only
