player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year,wOBA,wRC+,wRAA
三浦 大輔,17,31,28,0,4,1,0,0,5,0,0,0,3,0,0,0,0,7,0,0.143,0.179,0.143,DeNA,2015,0.1460211957407025,-65.92825755154807,-5.128397702577458
三嶋 一輝,20,30,25,1,3,0,0,0,3,0,0,0,5,0,0,0,0,10,0,0.12,0.12,0.12,DeNA,2015,0.11042339426243201,-100.07319738597238,-5.9842512329090605
嶺井 博希,74,208,186,18,44,8,1,5,69,26,0,0,3,2,12,0,5,46,2,0.237,0.371,0.298,DeNA,2015,0.30890801720865124,90.31062484793725,-2.0093646457304657
宮崎 敏郎,58,163,152,13,44,8,0,1,55,10,0,0,0,1,6,0,4,21,5,0.289,0.362,0.331,DeNA,2015,0.32127274962020097,102.17071245809026,0.35276830119410657
モスコーソ,15,15,13,0,3,0,0,0,3,1,0,0,2,0,0,0,0,6,0,0.231,0.231,0.231,DeNA,2015,0.21235268127390772,-2.303974910334823,-1.529971770300684
柳田 殖生,24,49,43,1,9,2,0,0,11,5,0,0,3,0,1,0,2,11,2,0.209,0.256,0.261,DeNA,2015,0.24618852105198838,30.15091459105797,-3.412372665925378
山口 俊,20,33,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,1,0.0,0.0,0.0,DeNA,2015,0.0,-205.9898550679131,-10.067476356199967
山崎 憲晴,25,34,29,4,3,1,0,0,4,2,2,0,2,0,3,0,0,12,0,0.103,0.138,0.188,DeNA,2015,0.16665462557362784,-46.13694485901825,-4.953801397296936
山下 幸輝,23,43,42,2,10,2,0,0,12,2,0,1,1,0,0,0,0,12,0,0.238,0.286,0.238,DeNA,2015,0.23851373490126682,22.789361335629437,-3.310131529074416
ロペス,140,565,516,63,150,29,1,25,256,73,1,1,0,3,44,3,2,82,14,0.291,0.496,0.347,DeNA,2015,0.38190311420710715,160.32655537504178,33.98260178021266
アンダーソン,83,260,234,20,59,14,0,7,94,31,1,1,0,0,21,1,5,37,5,0.252,0.402,0.327,巨人,2015,0.3378740294284278,118.0944402358398,4.690489314788151
相川 亮二,40,114,99,11,31,3,2,4,50,17,1,0,2,1,12,0,0,16,1,0.313,0.505,0.384,巨人,2015,0.40230519977409657,179.8959657108701,9.080909600659853
